,SalePrice,GrLivArea,LotArea,OverallQual,BSMT_LowQual,house_age_years,GarageCars,FullBath,HalfBath,BsmtExposure_ord,SaleTypeNew,PorchSF,BSMT_HighQual,Fireplaces,Pool,BedroomAbvGr,water_tower,graveyard,police,optician,slipway,bar,cinema,supermarket,hotel,stop,farmyard,christian_catholic,jewish,muslim,garden_centre,christian_lutheran,ExterQualDisc,OverallCondDisc,KitchenQualDisc,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,MasVnrType_None,MasVnrType_Stone
0,126000,856,7890,0.4285714285714285,856.0,71.21095890410959,2.0,1,0,1,0,166,0.0,1,0,2,2,1,1,1,0,11,0,4,0,0,0,1,0,0,0,3,-0.09523809523809518,0.07142857142857151,-0.09523809523809518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,139500,1049,4235,0.2857142857142856,104.0,25.10410958904109,1.0,2,0,2,0,105,945.0,0,0,2,1,1,1,1,0,11,0,4,0,0,0,1,0,1,0,2,0.38095238095238104,0.047619047619047616,0.38095238095238104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,114000,1039,8146,0.1428571428571428,405.0,109.4027397260274,1.0,1,0,1,0,279,0.0,0,0,2,0,1,1,1,0,4,1,1,0,0,1,0,0,0,0,3,0.5238095238095238,0.6904761904761905,0.19047619047619052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,227000,1665,8400,0.7142857142857142,167.0,8.838356164383562,2.0,2,1,1,0,45,643.0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,-0.04761904761904756,-0.2142857142857142,-0.04761904761904756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,198500,1922,7301,0.5714285714285714,0.0,6.501369863013698,2.0,3,0,0,0,177,0.0,1,0,4,1,0,0,1,0,2,0,4,3,1,0,0,0,0,0,1,0.09523809523809523,-0.2380952380952382,0.09523809523809523,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,93000,936,6000,0.1428571428571428,936.0,56.12328767123287,2.0,1,0,1,0,144,0.0,0,0,2,0,1,1,1,0,4,0,4,1,0,0,0,0,0,0,3,-0.1428571428571428,0.023809523809523808,0.19047619047619052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
6,187687,1246,3710,0.5714285714285714,1146.0,1.1643835616438356,2.0,2,0,4,1,24,0.0,1,0,2,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0.09523809523809523,-0.2380952380952382,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,137500,889,12395,0.2857142857142856,217.0,24.265753424657536,2.0,1,0,1,0,0,647.0,0,0,3,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0.04761904761904773,0.2142857142857144,0.04761904761904773,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,140000,1072,3675,0.4285714285714285,80.0,2.328767123287671,2.0,1,0,4,0,44,467.0,0,0,2,1,0,0,1,0,3,0,4,3,1,0,0,0,0,0,1,-0.09523809523809518,-0.09523809523809529,0.23809523809523814,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9,219500,1342,6240,0.7142857142857142,1318.0,2.084931506849315,2.0,2,0,1,0,35,24.0,1,0,2,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,-0.04761904761904756,-0.380952380952381,-0.04761904761904756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,136000,1274,10475,0.2857142857142856,624.0,19.175342465753424,2.0,1,1,1,0,0,0.0,0,0,3,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0.04761904761904773,0.047619047619047616,0.04761904761904773,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,80000,861,7404,0.1428571428571428,861.0,89.8958904109589,2.0,1,0,1,0,128,0.0,0,0,2,0,1,1,1,0,4,0,2,1,0,1,0,0,0,0,3,0.19047619047619052,0.3571428571428572,0.19047619047619052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12,159000,1394,9500,0.4285714285714285,1394.0,46.52876712328767,2.0,1,1,1,0,261,0.0,2,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2,-0.09523809523809518,-0.09523809523809529,-0.09523809523809518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,214000,1536,9135,0.5714285714285714,726.0,6.920547945205479,2.0,2,0,3,0,74,810.0,0,0,3,1,0,0,0,0,1,0,1,3,1,13,0,0,0,0,0,0.09523809523809523,-0.2380952380952382,0.09523809523809523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,163000,1680,8480,0.4285714285714285,284.0,15.75890410958904,2.0,2,1,1,0,96,602.0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.23809523809523814,-0.09523809523809529,0.23809523809523814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,203000,1274,8814,0.5714285714285714,349.0,2.0,2.0,2,0,1,1,98,925.0,0,0,3,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.09523809523809523,-0.2380952380952382,0.09523809523809523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,67000,864,8248,0.0,864.0,94.73150684931508,0.0,1,0,1,0,100,0.0,0,0,2,2,1,1,1,0,11,0,4,0,0,0,1,0,1,0,3,0.3333333333333333,0.0,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,205000,1610,10603,0.4285714285714285,410.0,33.106849315068494,2.0,2,0,2,0,68,1200.0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,-0.09523809523809518,0.23809523809523803,0.23809523809523814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,131250,1091,7706,0.4285714285714285,114.0,16.59178082191781,1.0,1,0,3,0,0,270.0,0,0,2,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,-0.09523809523809518,-0.09523809523809529,-0.09523809523809518,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,181000,1486,7441,0.5714285714285714,1461.0,1.4136986301369865,2.0,2,0,1,0,32,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.09523809523809523,-0.2380952380952382,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,115000,789,6000,0.2857142857142856,685.0,60.29041095890411,1.0,1,0,1,0,0,104.0,0,0,2,0,1,1,1,0,4,0,2,1,0,1,0,0,0,0,3,0.04761904761904773,0.047619047619047616,0.04761904761904773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21,98000,1092,1477,0.4285714285714285,188.0,38.18904109589041,0.0,2,1,1,0,0,358.0,0,0,3,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,-0.09523809523809518,0.5714285714285715,-0.09523809523809518,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
22,265979,2640,11700,0.5714285714285714,1240.0,129.41643835616438,4.0,1,1,1,0,386,0.0,1,0,4,0,1,1,1,0,4,0,5,1,0,0,0,0,0,0,3,0.09523809523809523,0.09523809523809512,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
23,105500,1092,1680,0.2857142857142856,525.0,39.18904109589041,1.0,1,1,1,0,0,0.0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0.04761904761904773,0.047619047619047616,0.04761904761904773,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,168165,1458,13204,0.5714285714285714,608.0,1.3287671232876712,2.0,2,0,1,1,33,0.0,0,0,3,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,-0.23809523809523808,-0.2380952380952382,0.09523809523809523,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,201000,1466,8925,0.7142857142857142,1450.0,2.4986301369863013,3.0,2,0,3,0,18,16.0,0,0,3,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,-0.04761904761904756,-0.380952380952381,-0.04761904761904756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26,177500,1573,2117,0.4285714285714285,378.0,10.421917808219176,2.0,2,1,1,0,32,378.0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.23809523809523814,-0.09523809523809529,0.23809523809523814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27,200000,2090,10382,0.5714285714285714,248.0,36.85753424657534,2.0,2,1,2,0,432,859.0,2,0,3,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,2,-0.23809523809523808,-0.0714285714285714,-0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,450000,2046,15431,0.9999999999999998,564.0,2.580821917808219,3.0,2,1,4,0,240,1430.0,2,0,2,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2.220446049250313e-16,-0.6666666666666665,2.220446049250313e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,91300,886,5784,0.2857142857142856,190.0,71.96438356164384,1.0,1,0,1,0,100,0.0,0,0,2,0,1,1,1,0,4,0,4,1,0,1,0,0,0,0,3,0.04761904761904773,0.5476190476190477,0.04761904761904773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,173500,1258,7697,0.5714285714285714,1246.0,0.5808219178082191,2.0,2,0,1,1,0,0.0,0,0,3,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0.09523809523809523,-0.0714285714285714,0.09523809523809523,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,199500,1324,18494,0.4285714285714285,1324.0,5.002739726027397,2.0,2,0,1,0,23,0.0,0,0,3,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0.23809523809523814,-0.09523809523809529,0.23809523809523814,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,207000,1848,13053,0.4285714285714285,833.0,85.47397260273972,2.0,1,1,1,0,220,0.0,1,0,4,0,0,1,1,0,4,0,3,0,0,0,0,0,0,0,3,-0.09523809523809518,0.23809523809523803,0.23809523809523814,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,155000,1269,7931,0.2857142857142856,1269.0,48.44931506849315,1.0,1,1,1,0,0,0.0,1,0,3,0,1,1,1,0,4,0,1,0,0,2,0,0,0,0,2,0.04761904761904773,0.2142857142857144,0.04761904761904773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,220000,1346,11896,0.5714285714285714,1258.0,2.331506849315069,3.0,2,0,1,0,48,78.0,1,0,3,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0.09523809523809523,-0.2380952380952382,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,196000,1749,9272,0.5714285714285714,342.0,7.419178082191781,2.0,2,1,1,0,85,500.0,0,0,3,1,0,0,0,0,1,0,0,3,1,11,0,0,0,0,0,0.09523809523809523,-0.2380952380952382,0.09523809523809523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,61500,492,7830,0.0,492.0,85.47123287671234,1.0,1,0,1,0,78,0.0,0,0,1,0,1,1,1,0,4,0,3,1,0,1,0,0,0,0,3,0.3333333333333333,0.3333333333333332,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
37,195000,2030,12046,0.4285714285714285,848.0,31.435616438356163,2.0,2,1,1,0,224,0.0,1,0,4,2,0,0,0,0,0,1,2,0,0,1,0,1,0,0,1,-0.09523809523809518,0.07142857142857151,0.23809523809523814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,129250,988,7150,0.2857142857142856,988.0,41.86027397260274,1.0,1,0,1,0,0,0.0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0.04761904761904773,0.2142857142857144,0.04761904761904773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,291000,2172,11000,0.857142857142857,1519.0,8.421917808219177,3.0,2,1,2,0,153,0.0,1,0,4,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,-0.19047619047619035,-0.5238095238095237,0.14285714285714302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,134000,1080,9187,0.4285714285714285,748.0,24.43013698630137,2.0,1,1,1,0,158,336.0,0,0,3,0,2,0,0,0,0,0,0,3,0,4,0,0,0,0,1,-0.09523809523809518,-0.09523809523809529,-0.09523809523809518,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,186000,1312,11355,0.5714285714285714,1312.0,50.28219178082192,2.0,1,1,1,0,448,0.0,1,0,3,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,-0.23809523809523808,0.09523809523809512,-0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,133500,925,8638,0.2857142857142856,744.0,43.778082191780825,2.0,1,0,1,0,74,181.0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0.04761904761904773,0.2142857142857144,0.04761904761904773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
43,148000,1534,10800,0.2857142857142856,736.0,112.56986301369864,0.0,1,1,3,0,112,0.0,0,0,3,0,1,1,1,0,4,1,2,0,0,0,0,0,0,0,3,0.04761904761904773,0.7142857142857144,0.38095238095238104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
44,325300,2376,14215,0.7142857142857142,1158.0,1.832876712328767,3.0,3,1,3,1,154,0.0,1,0,4,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,-0.04761904761904756,-0.380952380952381,-0.04761904761904756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,215000,1959,11796,0.5714285714285714,847.0,3.4986301369863013,2.0,2,1,3,0,48,0.0,1,0,4,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0.09523809523809523,-0.2380952380952382,0.09523809523809523,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
